suite,packet_count,oracle_deadline_miss_rate,on_time_feasible_fraction,oracle_initial_slack_mean,oracle_cost_mean
a1_e3_ood_branching3_eval,24,1.0,0.0,-25.818091629527,38.75867884163351
a1_e3_ood_branching3_eval,39,1.0,0.0,-30.730035199990425,43.25273714127901
a1_e3_ood_branching3_eval,44,1.0,0.0,-31.86872818982706,44.01463261114233
a1_e3_ood_branching3_eval,60,1.0,0.0,-30.846187767999464,44.263237687850754
a1_e3_ood_branching3_eval,96,1.0,0.0,-32.552942649744274,45.50789507165786
a1_e3_ood_deeper_packets6_eval,26,1.0,0.0,-40.13827812908444,53.59050420287073
a1_e3_ood_deeper_packets6_eval,45,1.0,0.0,-37.956841427250076,52.34868953104
a1_e3_ood_deeper_packets6_eval,50,1.0,0.0,-39.697386975755684,53.71103046047878
a1_e3_ood_deeper_packets6_eval,52,1.0,0.0,-40.281645701100075,52.859643002379464
a1_e3_ood_deeper_packets6_eval,78,1.0,0.0,-43.94237312481642,56.97523510288091
a1_e3_ood_heavy_dynamic_eval,15,1.0,0.0,-48.646942853990986,63.60419724489118
a1_e3_ood_heavy_dynamic_eval,16,1.0,0.0,-51.81170659884209,65.70574186913795
a1_e3_ood_heavy_dynamic_eval,36,1.0,0.0,-51.77683882561707,64.88667377356586
a1_e3_ood_heavy_dynamic_eval,40,1.0,0.0,-54.58035027125946,68.6363787416854
a1_e3_ood_heavy_dynamic_eval,54,1.0,0.0,-57.38058058988339,71.46822355981305
a1_e3_ood_heavy_dynamic_eval,84,1.0,0.0,-60.65775858412994,73.89892478671347
a1_e3_ood_heavy_dynamic_eval,104,1.0,0.0,-57.76690071218078,71.32524013407453
e3_memory_hubs_rsm_round3_seed211,3,1.0,0.0,-12.708746115014018,28.647760159444207
e3_memory_hubs_rsm_round3_seed211,18,1.0,0.0,-22.166411932188225,35.516562435752604
e3_memory_hubs_rsm_round3_seed211,28,1.0,0.0,-18.191443849149856,31.596846057753165
e3_memory_hubs_rsm_round3_seed211,40,1.0,0.0,-25.733563928346918,38.76641931224364
