experiment,bucket,gpu_hours,status,portfolio_share
A0-oracle-audit,exploit,0.0,completed,0.0
A1-E3-baseline,exploit,0.36592718925740986,completed,0.1464231222597159
A2-deadline-head,exploit,0.11770952933364444,completed,0.04710061813042723
A4-verifier-refine,exploit,0.07911762999163734,completed,0.03165834829785034
A3-multiheavy-followup,exploit,0.22461334804693855,completed,0.08987740918892384
A3-path-reranker,exploit,0.10660791357358296,completed,0.042658386753702725
A3-path-reranker-seed313,exploit,0.028074771033393637,killed-early,0.011233916888707623
A3-combined-multiheavy-reranker,exploit,0.18660099433528052,completed,0.0746670403551765
A2-combined-deadline-head,exploit,0.06111519972483317,completed,0.02445480583007811
A3-combined-ood-stress,exploit,0.37833333333333335,completed,0.15138735122145822
A2-multiheavy-deadline-head-scout,exploit,0.1422042096985711,completed,0.056901987591561606
B1-hazard-memory,explore,0.26461411317189537,completed,0.10588342649050683
B2-gated-reranker-seed311,explore,0.060779284636179605,completed,0.024320391833144408
B2-gated-reranker-seed312,explore,0.089862193663915,completed,0.03595770786007876
B2-gated-reranker-seed313,explore,0.06544615877999199,completed,0.026187807820234277
B2-gated-reranker-ood-seed311,explore,0.0208,completed,0.008322969794025543
B2-gated-reranker-ood-seed312,explore,0.0258,completed,0.010323683686820146
B2-verifier-reranker-seed311,explore,0.06485164801279704,completed,0.025949918629965693
B2-verifier-reranker-seed312,explore,0.06004132946332296,completed,0.024025104399825623
B2-verifier-reranker-seed313,explore,0.06580910636319054,completed,0.02633303867464659
B2-conditional-verifier-policy,explore,0.0908,completed,0.03633296429314997
