group,budget_pct,best_label,stable_positive_recall,system_target_match,overall_mean_delta_regret
branch_source,0.75,shared_plus_dual_branchwise_max,0.6666666666666666,0.9052612033134293,-0.0136858548592878
branch_source,1.0,shared_plus_dual_branchwise_max,0.8333333333333333,0.9060222383210397,-0.014472873105311
branch_source,1.5,shared_plus_dual_branchwise_max,0.8333333333333333,0.9060222383210397,-0.0158613185091457
branch_source,2.0,shared_plus_dual_branchwise_max,1.0,0.90678327332865,-0.01671719527174505
calibration,0.75,branch_strength_sharp,0.6666666666666666,0.9052612033134293,-0.0138240963144081
calibration,1.0,branchwise_margin_max,0.8333333333333333,0.9060222383210397,-0.01518452360642945
calibration,1.5,branch_calibrated_sharp,0.8333333333333333,0.9060222383210397,-0.01544467426704955
calibration,2.0,branchwise_margin_max,0.8333333333333333,0.9060222383210397,-0.0163578017099328
max_timing,0.75,branchwise_max_before_mix,0.6666666666666666,0.9052612033134293,-0.0136858548592878
max_timing,1.0,branchwise_max_before_mix,0.8333333333333333,0.9060222383210397,-0.014472873105311
max_timing,1.5,branchwise_max_before_mix,0.8333333333333333,0.9060222383210397,-0.0158613185091457
max_timing,2.0,branchwise_max_before_mix,1.0,0.90678327332865,-0.01671719527174505
negative_cleanup_source,0.75,sharp_negative_tail,0.75,0.9073203492276696,-0.014446054805908
negative_cleanup_source,1.0,fixed_negative_tail,1.0,0.9079919408999328,-0.0130832412475459
negative_cleanup_source,1.5,fixed_negative_tail,1.0,0.9079919408999328,-0.0138029807808074
negative_cleanup_source,2.0,fixed_negative_tail,1.0,0.9079919408999328,-0.0138029807808074
support_agree_mix,0.75,sharp_negative_support_agree_mix,0.75,0.9073203492276696,-0.014446054805908
support_agree_mix,1.0,support_weighted_agree_mix,0.8333333333333333,0.9060222383210397,-0.014813677930439
support_agree_mix,1.5,branchwise_max_support_agree_mix,0.8333333333333333,0.9060222383210397,-0.0158613185091457
support_agree_mix,2.0,branchwise_max_support_agree_mix,1.0,0.90678327332865,-0.01671719527174505
