group_col,left_group,right_group,left_size,right_size,candidate_jaccard
model_family,branchwise_max,memory_agree,268,373,0.161231884057971
model_family,branchwise_max,negative_tail,268,387,0.21296296296296297
model_family,branchwise_max,sharp_negative,268,409,0.18150087260034903
model_family,memory_agree,negative_tail,373,387,0.2398042414355628
model_family,memory_agree,sharp_negative,373,409,0.16890881913303438
model_family,negative_tail,sharp_negative,387,409,0.26148969889064977
source_run,archived,rerun1,495,554,0.43502051983584133
source_run,archived,rerun2,495,423,0.260989010989011
source_run,rerun1,rerun2,554,423,0.2258469259723965
budget_band,0.10,0.25,58,131,0.44274809160305345
budget_band,0.10,0.50,58,231,0.2510822510822511
budget_band,0.10,0.75,58,347,0.16714697406340057
budget_band,0.10,1.00,58,444,0.13063063063063063
budget_band,0.10,1.25,58,528,0.10984848484848485
budget_band,0.10,1.50,58,614,0.09446254071661238
budget_band,0.10,2.00,58,772,0.07512953367875648
budget_band,0.10,2.50,58,943,0.061505832449628844
budget_band,0.25,0.50,131,231,0.5670995670995671
budget_band,0.25,0.75,131,347,0.37752161383285304
budget_band,0.25,1.00,131,444,0.29504504504504503
budget_band,0.25,1.25,131,528,0.2481060606060606
budget_band,0.25,1.50,131,614,0.21335504885993486
budget_band,0.25,2.00,131,772,0.16968911917098445
budget_band,0.25,2.50,131,943,0.13891834570519618
budget_band,0.50,0.75,231,347,0.6657060518731989
budget_band,0.50,1.00,231,444,0.5202702702702703
budget_band,0.50,1.25,231,528,0.4375
budget_band,0.50,1.50,231,614,0.3762214983713355
budget_band,0.50,2.00,231,772,0.29922279792746115
budget_band,0.50,2.50,231,943,0.2449628844114528
budget_band,0.75,1.00,347,444,0.7815315315315315
budget_band,0.75,1.25,347,528,0.6571969696969697
budget_band,0.75,1.50,347,614,0.5651465798045603
budget_band,0.75,2.00,347,772,0.4494818652849741
budget_band,0.75,2.50,347,943,0.3679745493107105
budget_band,1.00,1.25,444,528,0.8409090909090909
budget_band,1.00,1.50,444,614,0.7231270358306189
budget_band,1.00,2.00,444,772,0.5751295336787565
budget_band,1.00,2.50,444,943,0.4708377518557794
budget_band,1.25,1.50,528,614,0.8599348534201955
budget_band,1.25,2.00,528,772,0.6839378238341969
budget_band,1.25,2.50,528,943,0.559915164369035
budget_band,1.50,2.00,614,772,0.7953367875647669
budget_band,1.50,2.50,614,943,0.6511134676564156
budget_band,2.00,2.50,772,943,0.8186638388123012
