model,curve,bin_index,count,mean_pred,mean_obs
A2,on_time,0,206,0.21294013484046587,0.11165048543689321
A2,on_time,1,205,0.824235872815295,0.7170731707317073
A2,on_time,2,205,0.923139540451329,0.7804878048780488
A2,on_time,3,206,0.9476785842076089,0.8737864077669902
A2,on_time,4,205,0.9663126933865431,0.926829268292683
A2,on_time,5,205,0.9811287661878074,1.0
A2,on_time,6,206,0.9879027090026337,0.9951456310679612
A2,on_time,7,205,0.9941414757472713,1.0
A2,on_time,8,205,0.9983871521019354,1.0
A2,on_time,9,206,0.9994419416756306,1.0
A4,on_time,0,206,0.2335962345733226,0.1553398058252427
A4,on_time,1,205,0.7088183769365636,0.6341463414634146
A4,on_time,2,205,0.8524447161976884,0.8292682926829268
A4,on_time,3,206,0.8969874338617603,0.9271844660194175
A4,on_time,4,205,0.9324792486865346,0.926829268292683
A4,on_time,5,205,0.9565612100973362,0.9804878048780488
A4,on_time,6,206,0.9695069879582785,0.9660194174757282
A4,on_time,7,205,0.9787045792835515,0.9853658536585366
A4,on_time,8,205,0.9871049950762493,1.0
A4,on_time,9,206,0.9957355101710385,1.0
A2,slack,0,206,-2.5211448903801372,-4.214385932532944
A2,slack,1,205,0.4813039949754389,1.4814538236434867
A2,slack,2,205,3.06072362283381,2.282097353495476
A2,slack,3,206,4.756151879875405,3.465116918805842
A2,slack,4,205,5.786466740398872,5.059907152217518
A2,slack,5,205,7.395584269267757,7.274466567068565
A2,slack,6,206,9.628764745101188,9.902599241548371
A2,slack,7,205,11.204896066246963,12.374696459421298
A2,slack,8,205,13.95834051457847,15.419494633558319
A2,slack,9,206,16.93756263695874,18.594036768941045
A4,slack,0,206,-4.110108743593531,-3.299224689299946
A4,slack,1,205,-1.5825540347797116,0.5645472365363342
A4,slack,2,205,0.5932051691340237,3.3175664588581864
A4,slack,3,206,2.8838656087523526,4.704301752932189
A4,slack,4,205,3.945610269686071,4.561843447877867
A4,slack,5,205,5.782073425665135,6.5248266028194895
A4,slack,6,206,7.6117375359951875,8.59555528898841
A4,slack,7,205,10.32678078907292,14.220183905741063
A4,slack,8,205,13.178154182434081,16.77469031171101
A4,slack,9,206,16.45375974432936,15.685248699003052
