seed,suite,variant,average_regret,p95_regret,deadline_miss_rate,rollout_next_hop_accuracy
312,branching3,Multiheavy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414538
312,deeper_packets6,Multiheavy,4.278659820556641,11.714221954345703,0.875,0.9569288389513108
312,heavy_dynamic,Multiheavy,11.095745086669922,29.44192123413086,1.0,0.926530612244898
312,branching3,Multiheavy+VerifierPathReranker,1.98437774181366,7.951625823974609,0.5625,0.9453125
312,deeper_packets6,Multiheavy+VerifierPathReranker,3.087554216384888,12.003117561340332,0.75,0.948051948051948
312,heavy_dynamic,Multiheavy+VerifierPathReranker,2.4201431274414062,11.271291732788086,0.3125,0.9212962962962964
mean,branching3,Multiheavy,6.8422465324401855,15.544229507446287,1.0,0.9135559921414538
mean,branching3,Multiheavy+VerifierPathReranker,1.98437774181366,7.951625823974609,0.5625,0.9453125
mean,deeper_packets6,Multiheavy,4.278659820556641,11.714221954345703,0.875,0.9569288389513108
mean,deeper_packets6,Multiheavy+VerifierPathReranker,3.087554216384888,12.003117561340332,0.75,0.948051948051948
mean,heavy_dynamic,Multiheavy,11.095745086669922,29.44192123413086,1.0,0.926530612244898
mean,heavy_dynamic,Multiheavy+VerifierPathReranker,2.4201431274414062,11.271291732788086,0.3125,0.9212962962962964
mean,overall,Multiheavy,7.405550479888916,18.900124231974285,0.9583333333333334,0.9323384811125542
mean,overall,Multiheavy+VerifierPathReranker,2.497358361879985,10.40867837270101,0.5416666666666666,0.9382202481160814
