suite,episode_index,decision_index,packet_count,max_tree_depth,mean_queue,slack_band,load_band,gap_bucket,hard_condition_count,oracle_action_gap,oracle_action_gap_ratio,predicted_next_hop,target_next_hop,predicted_continuation_gap,strictly_suboptimal
a1_multiheavy_ood_deeper_packets6_round7_eval,0,2,1,4,3.272797107696533,loose,high_load,medium_gap,2,6.459989547729492,0.2648337911182455,5,5,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,0,7,1,4,3.272797107696533,loose,high_load,medium_gap,2,5.331128120422363,0.604161490220042,103,103,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,0,8,1,4,3.272797107696533,loose,high_load,large_gap,2,6.624292850494385,1.1601245291637663,108,108,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,0,9,1,4,3.272797107696533,loose,high_load,large_gap,2,6.700149774551392,2.6142268069815877,118,118,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,12,5,4,1.305850625038147,loose,low_load,medium_gap,2,6.473033905029297,0.3631835695460085,100,100,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,13,5,4,1.305850625038147,loose,low_load,medium_gap,2,6.158465385437012,0.3918254847821912,98,98,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,15,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.242173194885254,0.4591176645743557,66,66,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,17,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.856163024902344,1.1975519409070894,73,73,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,18,5,4,1.305850625038147,loose,low_load,medium_gap,2,4.622727155685425,1.4773823410612534,81,81,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,19,5,4,1.305850625038147,loose,low_load,medium_gap,2,4.827486157417297,2.944513338508932,96,96,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,21,5,4,1.305850625038147,loose,low_load,large_gap,2,7.984495162963867,0.3570572885814083,8,8,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,22,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.488485336303711,0.277194691049768,5,5,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,23,5,4,1.305850625038147,loose,low_load,large_gap,2,6.738758087158203,0.3815655782391683,2,2,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,25,5,4,1.305850625038147,loose,low_load,medium_gap,2,4.917059898376465,0.4369115817548472,98,98,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,27,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.502544403076172,1.0057796495534002,104,104,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,28,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.806941509246826,1.5582016123202198,110,110,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,29,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.829537391662598,3.11811306789445,122,122,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,35,5,4,1.305850625038147,loose,low_load,medium_gap,2,4.824089050292969,0.3170477543706365,66,66,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,37,5,4,1.305850625038147,loose,low_load,medium_gap,2,6.244255542755127,0.9262887872266304,73,73,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,38,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.2612175941467285,1.3965004879840497,80,80,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,39,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.472401022911072,3.3435942426099743,95,95,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,45,5,4,1.305850625038147,loose,low_load,large_gap,2,7.429508209228516,0.4088035449772876,2,2,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,46,5,4,1.305850625038147,loose,low_load,medium_gap,2,4.597280502319336,0.3561261765481145,5,5,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,47,5,4,1.305850625038147,loose,low_load,medium_gap,2,6.30576229095459,0.6774558098537615,8,8,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,48,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.076027870178223,0.828071117085245,15,15,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,49,5,4,1.305850625038147,loose,low_load,large_gap,2,7.271536588668823,2.5477754334717613,28,28,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,53,5,4,1.305850625038147,loose,low_load,large_gap,2,7.125875473022461,0.2821505913929973,2,2,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,57,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.346269607543945,0.6821504866584474,104,104,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,58,5,4,1.305850625038147,loose,low_load,medium_gap,2,5.661566257476807,1.0743439675288955,110,110,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,1,59,5,4,1.305850625038147,loose,low_load,medium_gap,2,6.409380912780762,2.372345870585511,123,123,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,213,6,4,2.7997663021087646,loose,mid_load,large_gap,2,7.526016235351562,0.3138462027934205,34,34,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,216,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.010849952697754,0.4121310092080185,68,68,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,217,6,4,2.7997663021087646,loose,mid_load,large_gap,2,7.80533504486084,0.8780757509842092,71,71,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,218,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,6.370534896850586,1.02945509688913,77,77,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,219,6,4,2.7997663021087646,loose,mid_load,large_gap,2,6.744199275970459,2.369890139903436,89,89,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,223,6,4,2.7997663021087646,loose,mid_load,large_gap,2,8.246919631958008,0.3381375925384142,34,34,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,227,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,6.292935371398926,0.801546019510549,6,6,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,228,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.876643180847168,1.0489308733874585,11,11,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,229,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,6.032089710235596,2.101520362565248,21,21,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,237,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.848912715911865,0.7658757837373497,8,8,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,238,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.948763370513916,1.2091459228669976,14,14,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,239,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.492382287979126,2.030556736444964,26,26,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,243,6,4,2.7997663021087646,loose,mid_load,large_gap,2,8.009635925292969,0.3209238031451076,66,66,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,246,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.086836814880371,0.4407684371577113,37,37,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,247,6,4,2.7997663021087646,loose,mid_load,large_gap,2,7.971444129943848,1.0482947252195154,40,40,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,248,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.323208332061768,1.1195815350301193,46,46,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,249,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.064301490783691,2.1034759627306063,59,59,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,253,6,4,2.7997663021087646,loose,mid_load,large_gap,2,8.24736213684082,0.2961050278838392,34,34,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,255,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,4.903229713439941,0.3074280389499055,66,66,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,256,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.0839948654174805,0.4027539050119826,69,69,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,257,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,6.043789863586426,0.6639836127132019,73,73,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,258,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,6.290278434753418,1.0275144277788526,80,80,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,259,6,4,2.7997663021087646,loose,mid_load,large_gap,2,7.117602586746216,2.297559960469523,94,94,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,263,6,4,2.7997663021087646,loose,mid_load,large_gap,2,9.560028076171877,0.3083425467249991,34,34,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,267,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.827031135559082,0.5953602303144833,8,8,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,268,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.942062377929688,0.9446315890652828,14,14,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,7,269,6,4,2.7997663021087646,loose,mid_load,medium_gap,2,5.473954916000366,1.6438226927184654,26,26,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,331,6,4,2.532585620880127,loose,mid_load,large_gap,2,7.759552001953125,0.3167403763475854,71,71,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,332,6,4,2.532585620880127,loose,mid_load,medium_gap,2,5.979284286499023,0.2821066005036379,68,68,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,333,6,4,2.532585620880127,loose,mid_load,medium_gap,2,5.788175582885742,0.3079859624366594,66,66,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,337,6,4,2.532585620880127,loose,mid_load,medium_gap,2,6.232901096343994,0.921717606377829,6,6,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,338,6,4,2.532585620880127,loose,mid_load,large_gap,2,6.786379814147949,1.574577426299916,11,11,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,339,6,4,2.532585620880127,loose,mid_load,large_gap,2,6.978062391281128,3.287474768101286,21,21,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,342,6,4,2.532585620880127,loose,mid_load,large_gap,2,6.682428359985352,0.295126804931521,100,100,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,343,6,4,2.532585620880127,loose,mid_load,large_gap,2,6.9381866455078125,0.3531213250990312,98,98,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,346,6,4,2.532585620880127,loose,mid_load,medium_gap,2,5.031477928161621,0.4468740044961095,36,36,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,347,6,4,2.532585620880127,loose,mid_load,medium_gap,2,5.946320533752441,0.7204365022051576,38,38,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,348,6,4,2.532585620880127,loose,mid_load,medium_gap,2,6.010031223297119,1.03999800316935,43,43,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,349,6,4,2.532585620880127,loose,mid_load,large_gap,2,6.54418158531189,2.680375061093417,53,53,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,353,6,4,2.532585620880127,loose,mid_load,large_gap,2,8.615602493286133,0.4017417602399498,2,2,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,357,6,4,2.532585620880127,loose,mid_load,medium_gap,2,5.497052192687988,0.7523629807899392,72,72,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,358,6,4,2.532585620880127,loose,mid_load,medium_gap,2,6.337717533111572,1.2792201036241704,79,79,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,359,6,4,2.532585620880127,loose,mid_load,medium_gap,2,6.373733758926392,2.5490561721750504,92,92,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,363,6,4,2.532585620880127,loose,mid_load,large_gap,2,8.585113525390625,0.3154630342951403,98,98,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,366,6,4,2.532585620880127,loose,mid_load,medium_gap,2,4.616703033447266,0.3163532931243848,4,4,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,367,6,4,2.532585620880127,loose,mid_load,large_gap,2,7.922056198120117,0.7813975548021052,7,7,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,368,6,4,2.532585620880127,loose,mid_load,medium_gap,2,5.2182936668396,0.7872001545691224,13,13,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,369,6,4,2.532585620880127,loose,mid_load,large_gap,2,6.906369924545288,2.181382927412053,24,24,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,373,6,4,2.532585620880127,loose,mid_load,large_gap,2,9.292612075805664,0.3418709288403269,2,2,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,376,6,4,2.532585620880127,loose,mid_load,medium_gap,2,4.978784561157227,0.3903263165371344,37,37,0.0,False
a1_multiheavy_ood_deeper_packets6_round7_eval,10,377,6,4,2.532585620880127,loose,mid_load,large_gap,2,6.841774940490723,0.7171687646381583,40,40,0.0,False
