bucket,decisions,baseline_error_rate,strict_suboptimal_rate,predicted_miss_rate,mean_oracle_action_gap,mean_continuation_gap,large_gap_hard_feasible_fraction,group
large_gap,800,0.00125,0.0,0.00125,7.46592743575573,0.0,0.42625,gap_bucket
medium_gap,1598,0.006257822277847309,0.006257822277847309,0.0,5.256091322707891,0.02759983184489798,0.21026282853566958,gap_bucket
near_tie,1985,0.08614609571788413,0.07153652392947103,0.014609571788413099,0.9235846820346054,0.10702123569901704,0.0,gap_bucket
critical,123,0.24390243902439024,0.0,0.24390243902439024,0.11952339730611662,0.0,0.0,slack_band
loose,3406,0.04462712859659425,0.04462712859659425,0.0,4.71423642378447,0.07532051795381556,0.19876688197298883,slack_band
moderate,503,0.0,0.0,0.0,0.2662044509978702,0.0,0.0,slack_band
tight,191,0.0,0.0,0.0,0.0,0.0,0.0,slack_band
very_tight,160,0.0,0.0,0.0,0.0,0.0,0.0,slack_band
1,413,0.0387409200968523,0.0387409200968523,0.0,3.459849171142024,0.08007857066378467,0.04600484261501211,packet_band
2,583,0.03430531732418525,0.03430531732418525,0.0,3.5530749056392428,0.05345942430185413,0.0,packet_band
3,953,0.0472193074501574,0.03987408184679958,0.007345225603357817,3.601439492649947,0.06383263526908499,0.0,packet_band
4,1091,0.03941338221814849,0.035747021081576534,0.0036663611365719525,3.599885194701519,0.06307348169174684,0.021081576535288724,packet_band
5+,1343,0.04318689501116903,0.029039463886820552,0.014147431124348473,3.980107605767978,0.04665429647165897,0.47282204020848845,packet_band
high_load,1520,0.045394736842105265,0.034210526315789476,0.01118421052631579,3.8188695863673563,0.05175472560681795,0.2835526315789474,load_band
low_load,1427,0.0350385423966363,0.032936229852838124,0.002102312543798178,3.456001638948458,0.06025795244886563,0.032936229852838124,load_band
mid_load,1436,0.04387186629526462,0.03690807799442897,0.006963788300835654,3.808422956875108,0.06398774588008445,0.13857938718662952,load_band
2,108,0.06481481481481481,0.06481481481481481,0.0,3.0690805878904133,0.10530394094961662,0.10185185185185185,depth_band
3,2765,0.04665461121157324,0.03942133815551537,0.007233273056057866,3.520059057040844,0.0673090191473797,0.11573236889692586,depth_band
4,1510,0.030463576158940398,0.02384105960264901,0.006622516556291391,4.066799655576415,0.039112199063332666,0.22913907284768212,depth_band
score_ge_2,1490,0.027516778523489934,0.027516778523489934,0.0,3.796991574604239,0.04507935735203276,0.45436241610738254,hard_condition_count
