suite,episode_index,decision_index,packet_index,candidate_next_hop,candidate_rank,base_choice,oracle_next_hop,teacher_score,branch_cost,branch_deadline_miss,branch_decisions,base_target_match,candidate_target_match,teacher_choice
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,0,3,112,0,112,112,5.155456154050727,5.155456154050727,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,4,3,101,0,101,101,4.940625836170011,4.940625836170011,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,4,3,112,1,101,101,7.578876892377407,7.578876892377407,False,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,4,3,113,2,101,101,9.666163306670228,9.666163306670228,False,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,10,3,75,0,75,75,109.94486976818959,9.94486976818959,True,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,10,3,74,1,75,75,110.36386516430039,10.3638651643004,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,10,3,68,2,75,75,113.3982077475914,13.3982077475914,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,14,0,108,0,108,100,5.632749190206669,5.632749190206669,False,2,False,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,14,0,100,1,108,100,5.712202238105531,5.712202238105531,False,2,False,True,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,14,0,109,2,108,100,7.9766786980026385,7.9766786980026385,False,2,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,18,0,1,0,1,1,10.962438037328223,10.962438037328223,False,2,True,True,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,18,0,0,1,1,1,15.347458566001524,15.347458566001524,False,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,18,0,99,2,1,1,4.432056501357043,4.432056501357043,False,2,True,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,20,0,36,0,36,36,4.913546095054788,4.913546095054788,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,20,0,1,1,36,36,116.84675580281308,16.84675580281307,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,20,0,0,2,36,36,138.4629041322708,38.46290413227079,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,24,4,112,0,112,112,7.166949529633257,7.166949529633257,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,25,4,105,0,105,105,7.108930107826901,7.108930107826901,False,2,True,True,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,25,4,127,1,105,105,6.598274946719243,6.598274946719243,False,2,True,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,25,4,126,2,105,105,9.716028237418119,9.716028237418119,False,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,30,4,4,0,4,4,6.607288256911827,6.607288256911827,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,30,4,1,1,4,4,13.521656386276725,13.521656386276725,False,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,30,4,0,2,4,4,10.531199277116773,10.531199277116773,False,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,32,4,12,0,12,12,6.641154087770565,6.641154087770565,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,32,4,4,1,12,12,110.87550395811749,10.875503958117495,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,32,4,13,2,12,12,6.707080232782801,6.707080232782801,False,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,34,2,44,0,44,44,4.165887091054916,4.165887091054916,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,42,2,36,0,36,36,7.116498169835137,7.116498169835137,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,42,2,44,1,36,36,111.46328549509474,11.463285495094745,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,42,2,45,2,36,36,110.40164785344092,10.401647853440915,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,44,2,1,0,1,1,125.02334638013471,25.02334638013471,True,2,True,True,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,44,2,0,1,1,1,138.49143286645412,38.49143286645412,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,44,2,37,2,1,1,110.64411288700474,10.644112887004736,True,2,True,False,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,45,2,66,0,66,66,115.62707702635092,15.627077026350912,True,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,45,2,0,1,66,66,125.27580549418926,25.27580549418926,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,45,2,2,2,66,66,126.79743779445238,26.797437794452385,True,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,50,1,46,0,46,46,4.657885794655547,4.657885794655547,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,54,1,37,0,37,37,4.242129302743057,4.242129302743057,False,2,True,True,True
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,54,1,47,1,37,37,5.820813672521158,5.820813672521158,False,2,True,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,54,1,46,2,37,37,6.8933994982250475,6.8933994982250475,False,2,True,False,False
