suite,episode_index,decision_index,packet_index,initial_oracle_hub,initial_oracle_path_length,oracle_stable_h1,oracle_stable_h2,oracle_stable_h3,oracle_stable_h4,initial_model_hub,model_flip_h1,model_flip_h2,model_flip_h3,model_flip_h4
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,0,3,1,10,True,True,True,True,-1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,4,3,1,6,False,False,False,False,1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,10,0,1,10,True,True,True,True,-1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,14,0,1,6,False,False,False,False,1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,18,0,-1,2,True,True,False,,-1,False,False,,
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,20,4,0,10,True,True,True,True,-1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,24,4,0,6,False,False,False,False,0,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,25,4,-1,5,True,True,True,True,-1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,30,2,1,10,True,True,True,True,-1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,32,2,1,8,True,True,False,False,1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,34,2,1,6,False,False,False,False,1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,42,1,1,8,True,True,False,False,0,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,44,1,1,6,False,False,False,False,0,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,45,1,-1,5,True,True,True,True,-1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,50,5,1,10,True,True,True,True,-1,False,False,False,False
a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,0,54,5,1,6,False,False,False,False,1,False,False,False,False
a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,1,20,1,-1,2,True,True,False,,-1,False,False,,
